loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,grade,sub_grade,fico_score,dti,application_type,loan_status
10000.0,10000.0,36 months,10.65,325.74,3 years,RENT,100000.0,Source Verified,other,CA,B,B2,722.0,7.06,Individual,Charged Off
1000.0,1000.0,36 months,16.29,35.31,< 1 year,RENT,28000.0,Not Verified,debt_consolidation,MO,D,D1,667.0,20.31,Individual,Fully Paid
10000.0,10000.0,36 months,15.27,347.98,4 years,RENT,42000.0,Not Verified,home_improvement,CA,C,C4,672.0,18.6,Individual,Fully Paid
3600.0,3600.0,36 months,6.03,109.57,10+ years,MORTGAGE,110000.0,Not Verified,major_purchase,CT,A,A1,762.0,10.52,Individual,Fully Paid
6000.0,6000.0,36 months,11.71,198.46,1 year,MORTGAGE,84000.0,Verified,medical,UT,B,B3,687.0,18.44,Individual,Fully Paid
9200.0,9200.0,36 months,6.03,280.01,6 years,RENT,77385.19,Not Verified,debt_consolidation,CA,A,A1,757.0,9.86,Individual,Fully Paid
20250.0,20250.0,60 months,15.27,484.63,3 years,RENT,43370.0,Verified,debt_consolidation,TX,C,C4,727.0,26.53,Individual,Fully Paid
21000.0,21000.0,36 months,12.42,701.73,10+ years,RENT,105000.0,Verified,debt_consolidation,FL,B,B4,707.0,13.22,Individual,Charged Off
10000.0,10000.0,36 months,11.71,330.76,10+ years,OWN,50000.0,Source Verified,credit_card,TX,B,B3,692.0,11.18,Individual,Fully Paid
10000.0,10000.0,36 months,11.71,330.76,5 years,RENT,50000.0,Not Verified,debt_consolidation,CA,B,B3,712.0,16.01,Individual,Fully Paid
6000.0,6000.0,36 months,11.71,198.46,1 year,RENT,76000.0,Not Verified,major_purchase,CA,B,B3,692.0,2.4,Individual,Charged Off
15000.0,15000.0,36 months,9.91,483.38,2 years,MORTGAGE,92000.0,Verified,credit_card,IL,B,B1,732.0,29.44,Individual,Fully Paid
15000.0,15000.0,36 months,14.27,514.64,9 years,RENT,60000.0,Not Verified,debt_consolidation,NY,C,C2,697.0,15.22,Individual,Charged Off
5000.0,5000.0,60 months,16.77,123.65,2 years,RENT,50004.0,Not Verified,other,PA,D,D2,677.0,13.97,Individual,Charged Off
4000.0,4000.0,36 months,11.71,132.31,10+ years,MORTGAGE,106000.0,Not Verified,debt_consolidation,FL,B,B3,682.0,5.63,Individual,Fully Paid
8500.0,8500.0,36 months,11.71,281.15,< 1 year,RENT,25000.0,Source Verified,credit_card,MN,B,B3,697.0,12.19,Individual,Fully Paid
4375.0,4375.0,36 months,7.51,136.11,7 years,MORTGAGE,17108.0,Source Verified,debt_consolidation,NY,A,A3,737.0,20.34,Individual,Fully Paid
31825.0,31825.0,36 months,7.9,995.82,5 years,MORTGAGE,75000.0,Verified,debt_consolidation,NJ,A,A4,762.0,14.03,Individual,Fully Paid
10000.0,10000.0,60 months,15.96,242.97,2 years,RENT,29120.0,Verified,debt_consolidation,FL,C,C5,692.0,22.83,Individual,Fully Paid
5000.0,5000.0,36 months,8.9,158.77,2 years,RENT,24044.0,Verified,debt_consolidation,OR,A,A5,702.0,11.93,Individual,Fully Paid
7000.0,7000.0,36 months,15.96,245.97,7 years,RENT,34000.0,Source Verified,credit_card,CA,C,C5,677.0,6.35,Individual,Fully Paid
12400.0,12400.0,36 months,10.65,403.91,10+ years,RENT,41000.0,Not Verified,credit_card,KY,B,B2,722.0,11.8,Individual,Fully Paid
10800.0,10800.0,36 months,9.91,348.03,2 years,RENT,55596.0,Source Verified,moving,CA,B,B1,707.0,5.5,Individual,Fully Paid
15000.0,15000.0,36 months,7.9,469.36,1 year,RENT,45000.0,Verified,debt_consolidation,OH,A,A4,732.0,8.48,Individual,Fully Paid
6000.0,6000.0,36 months,12.42,200.5,1 year,RENT,36852.0,Source Verified,debt_consolidation,AZ,B,B4,697.0,10.62,Individual,Fully Paid
12500.0,12500.0,60 months,12.69,282.44,1 year,RENT,27000.0,Verified,debt_consolidation,IL,B,B5,737.0,16.04,Individual,Fully Paid
9600.0,9600.0,36 months,7.51,298.67,4 years,RENT,68004.0,Source Verified,other,SC,A,A3,762.0,6.63,Individual,Fully Paid
12000.0,12000.0,36 months,7.9,375.49,10+ years,RENT,62300.0,Not Verified,debt_consolidation,NJ,A,A4,727.0,16.7,Individual,Fully Paid
3000.0,3000.0,36 months,18.25,108.84,9 years,MORTGAGE,65000.0,Not Verified,other,PA,D,D5,672.0,17.39,Individual,Fully Paid
4400.0,4400.0,36 months,16.77,156.37,10+ years,RENT,55000.0,Not Verified,debt_consolidation,RI,D,D2,692.0,20.01,Individual,Fully Paid
6000.0,6000.0,36 months,6.03,182.62,10+ years,MORTGAGE,45600.0,Not Verified,debt_consolidation,LA,A,A1,792.0,5.34,Individual,Fully Paid
14000.0,14000.0,36 months,9.91,451.15,6 years,RENT,80000.0,Not Verified,small_business,MA,B,B1,727.0,10.0,Individual,Fully Paid
5000.0,5000.0,36 months,8.9,158.77,10+ years,MORTGAGE,100000.0,Source Verified,debt_consolidation,OH,A,A5,707.0,16.33,Individual,Charged Off
10000.0,10000.0,36 months,10.65,325.74,6 years,RENT,27000.0,Verified,other,NY,B,B2,702.0,11.47,Individual,Fully Paid
10000.0,10000.0,36 months,6.03,304.36,10+ years,RENT,60000.0,Not Verified,credit_card,CT,A,A1,792.0,12.74,Individual,Fully Paid
11000.0,11000.0,36 months,6.62,337.75,5 years,RENT,70000.0,Not Verified,debt_consolidation,CT,A,A2,752.0,10.85,Individual,Fully Paid
15000.0,15000.0,36 months,9.91,483.38,8 years,MORTGAGE,80000.0,Not Verified,debt_consolidation,IL,B,B1,732.0,9.12,Individual,Charged Off
25600.0,25600.0,36 months,9.91,824.96,9 years,RENT,110000.0,Verified,credit_card,CA,B,B1,727.0,15.71,Individual,Fully Paid
7000.0,7000.0,36 months,10.65,228.02,< 1 year,RENT,40000.0,Not Verified,debt_consolidation,CA,B,B2,702.0,7.38,Individual,Fully Paid
12000.0,12000.0,36 months,15.96,421.65,4 years,RENT,50000.0,Not Verified,car,CA,C,C5,677.0,20.88,Individual,Charged Off
12000.0,12000.0,36 months,9.91,386.7,1 year,RENT,46000.0,Not Verified,credit_card,TX,B,B1,732.0,8.11,Individual,Fully Paid
21000.0,21000.0,60 months,19.91,555.33,7 years,RENT,50000.0,Verified,debt_consolidation,WA,E,E4,682.0,21.58,Individual,Charged Off
16000.0,16000.0,60 months,19.91,423.11,7 years,RENT,81000.0,Verified,credit_card,MA,E,E4,667.0,20.52,Individual,Fully Paid
10000.0,10000.0,36 months,12.42,334.16,< 1 year,OWN,39000.0,Not Verified,debt_consolidation,OR,B,B4,687.0,18.58,Individual,Fully Paid
10000.0,10000.0,36 months,10.65,325.74,2 years,RENT,51400.0,Not Verified,credit_card,TX,B,B2,717.0,19.14,Individual,Fully Paid
7100.0,7100.0,36 months,16.77,252.33,1 year,MORTGAGE,33000.0,Verified,debt_consolidation,TX,D,D2,682.0,24.0,Individual,Fully Paid
13000.0,13000.0,60 months,12.69,293.74,< 1 year,MORTGAGE,30000.0,Source Verified,debt_consolidation,NJ,B,B5,732.0,13.72,Individual,Fully Paid
17500.0,8950.0,60 months,17.27,223.74,6 years,RENT,40000.0,Verified,small_business,CA,D,D3,707.0,19.47,Individual,Fully Paid
17675.0,17675.0,60 months,14.65,417.25,< 1 year,RENT,50000.0,Source Verified,debt_consolidation,WI,C,C3,722.0,16.46,Individual,Fully Paid
8000.0,8000.0,36 months,16.77,284.31,< 1 year,RENT,62000.0,Not Verified,debt_consolidation,VA,D,D2,662.0,21.64,Individual,Fully Paid
10000.0,10000.0,60 months,10.65,215.69,10+ years,RENT,45996.0,Verified,debt_consolidation,OH,B,B2,757.0,21.73,Individual,Charged Off
3500.0,3500.0,36 months,10.65,114.01,7 years,MORTGAGE,55000.0,Not Verified,debt_consolidation,OH,B,B2,702.0,5.39,Individual,Fully Paid
12500.0,8925.0,60 months,17.27,223.11,5 years,RENT,30000.0,Source Verified,debt_consolidation,MN,D,D3,692.0,13.16,Individual,Charged Off
16425.0,16425.0,36 months,14.27,563.53,4 years,RENT,44544.0,Source Verified,debt_consolidation,CA,C,C2,697.0,22.71,Individual,Fully Paid
8200.0,8200.0,60 months,21.28,223.14,4 years,RENT,75000.0,Source Verified,small_business,CA,F,F2,677.0,12.48,Individual,Charged Off
15000.0,15000.0,36 months,14.65,517.42,2 years,OWN,61000.0,Verified,credit_card,FL,C,C3,687.0,11.88,Individual,Fully Paid
20975.0,13575.0,60 months,17.58,341.63,5 years,MORTGAGE,44000.0,Verified,credit_card,GA,D,D4,687.0,18.79,Individual,Fully Paid
6400.0,6400.0,36 months,16.77,227.45,5 years,RENT,75000.0,Not Verified,debt_consolidation,CA,D,D2,662.0,20.22,Individual,Charged Off
3000.0,3000.0,36 months,13.49,101.8,1 year,RENT,33600.0,Not Verified,debt_consolidation,AL,C,C1,672.0,18.11,Individual,Fully Paid
12000.0,12000.0,36 months,16.77,426.47,3 years,RENT,50000.0,Not Verified,credit_card,MA,D,D2,677.0,20.57,Individual,Fully Paid
14400.0,14400.0,36 months,8.9,457.25,< 1 year,OWN,150000.0,Source Verified,debt_consolidation,NY,A,A5,722.0,14.85,Individual,Fully Paid
12000.0,12000.0,36 months,14.65,413.94,10+ years,RENT,90000.0,Not Verified,debt_consolidation,NJ,C,C3,677.0,16.56,Individual,Fully Paid
11000.0,11000.0,36 months,13.49,373.24,10+ years,MORTGAGE,48000.0,Verified,debt_consolidation,TX,C,C1,692.0,21.82,Individual,Fully Paid
7250.0,7200.0,60 months,21.67,197.51,< 1 year,RENT,75000.0,Verified,debt_consolidation,CA,F,F3,682.0,24.82,Individual,Fully Paid
15000.0,15000.0,36 months,7.9,469.36,1 year,MORTGAGE,52000.0,Not Verified,small_business,TX,A,A4,767.0,9.65,Individual,Fully Paid
18000.0,18000.0,60 months,19.91,475.99,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,FL,E,E4,662.0,6.81,Individual,Fully Paid
35000.0,22075.0,60 months,17.27,551.84,3 years,MORTGAGE,150000.0,Verified,home_improvement,NY,D,D3,727.0,7.51,Individual,Fully Paid
10000.0,10000.0,36 months,14.27,343.09,2 years,RENT,68000.0,Source Verified,credit_card,PA,C,C2,682.0,15.39,Individual,Fully Paid
11800.0,11800.0,36 months,12.69,395.83,6 years,RENT,42000.0,Source Verified,credit_card,NY,B,B5,692.0,9.86,Individual,Fully Paid
4500.0,4500.0,36 months,6.03,136.96,4 years,RENT,53000.0,Source Verified,major_purchase,CA,A,A1,762.0,4.44,Individual,Fully Paid
7000.0,7000.0,36 months,12.69,234.82,10+ years,RENT,35000.0,Source Verified,credit_card,CA,B,B5,682.0,11.35,Individual,Fully Paid
9200.0,9200.0,36 months,12.42,307.43,2 years,RENT,60000.0,Source Verified,debt_consolidation,CA,B,B4,702.0,19.96,Individual,Fully Paid
14000.0,14000.0,60 months,17.27,349.98,4 years,RENT,28000.0,Verified,other,WA,D,D3,702.0,6.34,Individual,Fully Paid
4500.0,4500.0,60 months,10.65,97.06,< 1 year,MORTGAGE,42000.0,Source Verified,car,TX,B,B2,752.0,5.4,Individual,Fully Paid
12000.0,12000.0,36 months,16.29,423.61,9 years,RENT,88365.0,Verified,debt_consolidation,AZ,D,D1,682.0,16.85,Individual,Fully Paid
12000.0,12000.0,36 months,13.49,407.17,4 years,RENT,72000.0,Source Verified,debt_consolidation,CA,C,C1,687.0,21.33,Individual,Fully Paid
12000.0,12000.0,36 months,10.65,390.88,< 1 year,RENT,62000.0,Verified,credit_card,TX,B,B2,702.0,23.94,Individual,Fully Paid
7000.0,7000.0,36 months,10.65,228.02,3 years,MORTGAGE,43680.0,Not Verified,credit_card,MN,B,B2,687.0,5.38,Individual,Fully Paid
8200.0,8200.0,60 months,19.42,214.62,3 years,RENT,120000.0,Source Verified,debt_consolidation,NY,E,E3,687.0,2.8,Individual,Fully Paid
10500.0,10500.0,36 months,12.69,352.23,10+ years,RENT,66000.0,Verified,medical,CA,B,B5,697.0,20.73,Individual,Fully Paid
7000.0,7000.0,36 months,11.71,231.54,4 years,OWN,39120.0,Not Verified,debt_consolidation,FL,B,B3,677.0,21.01,Individual,Fully Paid
15300.0,15300.0,60 months,22.06,423.1,6 years,RENT,85000.0,Verified,credit_card,VA,F,F4,672.0,20.58,Individual,Fully Paid
20000.0,12800.0,60 months,11.71,282.86,4 years,MORTGAGE,47800.0,Verified,debt_consolidation,VA,B,B3,742.0,10.04,Individual,Fully Paid
17500.0,17500.0,60 months,17.27,437.47,7 years,MORTGAGE,45000.0,Not Verified,credit_card,WA,D,D3,702.0,21.31,Individual,Charged Off
3500.0,3500.0,36 months,6.03,106.53,10+ years,MORTGAGE,83000.0,Verified,car,IL,A,A1,747.0,2.31,Individual,Fully Paid
6000.0,6000.0,60 months,12.69,135.57,< 1 year,RENT,81000.0,Source Verified,major_purchase,CO,B,B5,697.0,13.66,Individual,Fully Paid
6200.0,6200.0,36 months,9.91,199.8,2 years,RENT,25000.0,Not Verified,debt_consolidation,CA,B,B1,712.0,20.64,Individual,Charged Off
16000.0,16000.0,60 months,17.58,402.65,7 years,RENT,65000.0,Not Verified,debt_consolidation,KS,D,D4,697.0,15.56,Individual,Fully Paid
6000.0,6000.0,36 months,8.9,190.52,8 years,OWN,28800.0,Not Verified,debt_consolidation,NJ,A,A5,702.0,13.17,Individual,Fully Paid
7200.0,7200.0,36 months,9.91,232.02,6 years,RENT,135000.0,Not Verified,credit_card,NY,B,B1,697.0,6.12,Individual,Fully Paid
9500.0,9500.0,36 months,8.9,301.66,7 years,MORTGAGE,50000.0,Not Verified,credit_card,TX,A,A5,722.0,8.18,Individual,Fully Paid
18825.0,18825.0,60 months,16.77,465.53,10+ years,RENT,38000.0,Verified,debt_consolidation,TX,D,D2,702.0,23.18,Individual,Charged Off
24000.0,24000.0,36 months,10.65,781.76,10+ years,RENT,45000.0,Verified,debt_consolidation,CA,B,B2,727.0,14.8,Individual,Fully Paid
6000.0,6000.0,36 months,13.49,203.59,10+ years,RENT,80000.0,Not Verified,debt_consolidation,CA,C,C1,667.0,11.58,Individual,Fully Paid
6000.0,6000.0,36 months,13.49,203.59,5 years,RENT,50000.0,Not Verified,debt_consolidation,AZ,C,C1,692.0,15.38,Individual,Fully Paid
2100.0,2100.0,36 months,12.42,70.18,10+ years,MORTGAGE,30000.0,Not Verified,vacation,LA,B,B4,692.0,19.72,Individual,Fully Paid
5500.0,5500.0,36 months,6.62,168.88,8 years,MORTGAGE,110000.0,Verified,small_business,CT,A,A2,742.0,9.69,Individual,Fully Paid
11000.0,11000.0,36 months,6.62,337.75,8 years,OWN,45608.0,Source Verified,debt_consolidation,LA,A,A2,737.0,20.5,Individual,Fully Paid
26800.0,26800.0,60 months,20.89,723.38,3 years,MORTGAGE,120000.0,Verified,debt_consolidation,FL,F,F1,682.0,12.15,Individual,Fully Paid
8000.0,8000.0,36 months,12.69,268.36,5 years,MORTGAGE,35000.0,Not Verified,debt_consolidation,IL,B,B5,707.0,10.05,Individual,Fully Paid
10000.0,10000.0,36 months,18.25,362.78,1 year,RENT,75000.0,Source Verified,credit_card,CA,D,D5,667.0,24.14,Individual,Charged Off
8000.0,8000.0,36 months,11.71,264.61,9 years,MORTGAGE,35000.0,Verified,credit_card,NV,B,B3,692.0,9.7,Individual,Fully Paid
10000.0,10000.0,36 months,8.9,317.54,6 years,RENT,24000.0,Verified,debt_consolidation,CA,A,A5,712.0,7.0,Individual,Fully Paid
12000.0,12000.0,36 months,11.71,396.92,2 years,MORTGAGE,126000.0,Not Verified,debt_consolidation,OH,B,B3,697.0,13.32,Individual,Fully Paid
10000.0,10000.0,36 months,7.9,312.91,1 year,RENT,43000.0,Not Verified,debt_consolidation,CA,A,A4,732.0,25.26,Individual,Fully Paid
12000.0,12000.0,36 months,9.91,386.7,1 year,RENT,50000.0,Not Verified,debt_consolidation,CA,B,B1,727.0,16.44,Individual,Fully Paid
25000.0,25000.0,60 months,13.49,575.12,10+ years,MORTGAGE,67000.0,Verified,credit_card,AK,C,C1,742.0,14.15,Individual,Charged Off
19750.0,19750.0,36 months,10.65,643.33,4 years,RENT,45000.0,Verified,debt_consolidation,OR,B,B2,722.0,22.8,Individual,Charged Off
10000.0,10000.0,36 months,9.91,322.25,3 years,RENT,31200.0,Source Verified,debt_consolidation,NY,B,B1,712.0,14.81,Individual,Fully Paid
13650.0,13650.0,36 months,12.42,456.12,4 years,RENT,66000.0,Verified,debt_consolidation,NV,B,B4,677.0,24.09,Individual,Fully Paid
28000.0,11800.0,60 months,19.91,312.04,10+ years,RENT,52000.0,Verified,debt_consolidation,TX,E,E4,687.0,20.7,Individual,Charged Off
18000.0,18000.0,36 months,7.9,563.23,10+ years,RENT,56964.0,Source Verified,debt_consolidation,CA,A,A4,722.0,27.55,Individual,Fully Paid
2500.0,2500.0,36 months,14.27,85.78,7 years,RENT,49500.0,Source Verified,debt_consolidation,FL,C,C2,672.0,10.33,Individual,Fully Paid
21000.0,21000.0,60 months,20.3,559.89,10+ years,RENT,70000.0,Verified,credit_card,CO,E,E5,672.0,23.21,Individual,Fully Paid
35000.0,35000.0,36 months,8.9,1111.37,6 years,MORTGAGE,125000.0,Verified,debt_consolidation,CA,A,A5,742.0,22.71,Individual,Fully Paid
10000.0,10000.0,36 months,7.51,311.11,3 years,RENT,33000.0,Not Verified,credit_card,NJ,A,A3,747.0,9.75,Individual,Fully Paid
7000.0,7000.0,36 months,12.69,234.82,< 1 year,RENT,30000.0,Source Verified,credit_card,VA,B,B5,677.0,15.8,Individual,Fully Paid
24000.0,24000.0,36 months,15.96,843.3,8 years,MORTGAGE,90000.0,Source Verified,home_improvement,CA,C,C5,717.0,9.17,Individual,Charged Off
10625.0,10625.0,36 months,7.51,330.56,5 years,MORTGAGE,23000.0,Not Verified,medical,OR,A,A3,732.0,18.89,Individual,Fully Paid
5000.0,5000.0,36 months,14.65,172.48,2 years,RENT,24000.0,Source Verified,debt_consolidation,PA,C,C3,672.0,18.3,Individual,Fully Paid
8850.0,8850.0,36 months,6.62,271.73,10+ years,RENT,62000.0,Source Verified,credit_card,MD,A,A2,737.0,17.71,Individual,Fully Paid
6375.0,6375.0,36 months,7.51,198.34,4 years,RENT,44000.0,Source Verified,debt_consolidation,GA,A,A3,732.0,4.8,Individual,Fully Paid
6000.0,6000.0,36 months,11.71,198.46,1 year,RENT,90000.0,Not Verified,credit_card,NJ,B,B3,682.0,2.97,Individual,Fully Paid
11100.0,11100.0,36 months,6.62,340.82,10+ years,RENT,41000.0,Verified,credit_card,PA,A,A2,757.0,29.85,Individual,Charged Off
10000.0,10000.0,60 months,12.69,225.95,2 years,MORTGAGE,56000.0,Source Verified,debt_consolidation,CA,B,B5,737.0,10.82,Individual,Fully Paid
6200.0,6200.0,36 months,6.03,188.71,5 years,MORTGAGE,26500.0,Not Verified,small_business,WV,A,A1,772.0,18.2,Individual,Fully Paid
15000.0,15000.0,36 months,18.64,547.12,1 year,RENT,54000.0,Not Verified,debt_consolidation,GA,E,E1,662.0,19.69,Individual,Fully Paid
4200.0,4200.0,36 months,11.71,138.92,2 years,RENT,53000.0,Not Verified,other,MD,B,B3,682.0,16.91,Individual,Fully Paid
14000.0,14000.0,36 months,14.27,480.33,4 years,RENT,52800.0,Not Verified,debt_consolidation,CA,C,C2,682.0,7.36,Individual,Fully Paid
8875.0,8875.0,36 months,7.51,276.11,1 year,MORTGAGE,38000.0,Not Verified,debt_consolidation,GA,A,A3,742.0,23.53,Individual,Fully Paid
13500.0,13500.0,36 months,9.91,435.04,7 years,RENT,38000.0,Verified,debt_consolidation,CA,B,B1,747.0,12.38,Individual,Fully Paid
12000.0,12000.0,36 months,9.91,386.7,2 years,RENT,42000.0,Not Verified,debt_consolidation,MN,B,B1,727.0,7.83,Individual,Charged Off
16000.0,16000.0,60 months,19.91,423.11,4 years,RENT,55000.0,Verified,debt_consolidation,WA,E,E4,667.0,15.8,Individual,Fully Paid
21600.0,21600.0,60 months,19.42,565.32,8 years,MORTGAGE,60000.0,Source Verified,debt_consolidation,GA,E,E3,677.0,16.74,Individual,Fully Paid
6000.0,6000.0,36 months,10.65,195.44,6 years,MORTGAGE,87000.0,Not Verified,home_improvement,NJ,B,B2,692.0,12.86,Individual,Fully Paid
8450.0,8450.0,60 months,16.77,208.97,5 years,OWN,25000.0,Verified,debt_consolidation,IL,D,D2,692.0,22.51,Individual,Fully Paid
20000.0,20000.0,60 months,13.49,460.1,1 year,RENT,82000.0,Not Verified,credit_card,OH,C,C1,717.0,17.68,Individual,Fully Paid
10000.0,10000.0,36 months,11.71,330.76,8 years,RENT,60000.0,Not Verified,debt_consolidation,CA,B,B3,697.0,22.08,Individual,Charged Off
12000.0,12000.0,36 months,16.29,423.61,5 years,MORTGAGE,80000.0,Verified,credit_card,GA,D,D1,687.0,18.18,Individual,Fully Paid
13475.0,13475.0,60 months,13.49,309.99,10+ years,RENT,25000.0,Verified,credit_card,CA,C,C1,732.0,21.89,Individual,Charged Off
7200.0,7200.0,36 months,12.42,240.59,5 years,RENT,48000.0,Not Verified,major_purchase,IL,B,B4,687.0,17.43,Individual,Fully Paid
5600.0,5600.0,36 months,14.65,193.17,1 year,MORTGAGE,85000.0,Not Verified,debt_consolidation,AZ,C,C3,677.0,12.24,Individual,Charged Off
12000.0,12000.0,36 months,14.27,411.71,< 1 year,RENT,57000.0,Verified,debt_consolidation,CA,C,C2,682.0,10.86,Individual,Fully Paid
8500.0,8500.0,36 months,6.03,258.71,2 years,RENT,25000.0,Not Verified,credit_card,MD,A,A1,762.0,1.73,Individual,Fully Paid
8000.0,8000.0,36 months,9.91,257.8,2 years,RENT,34000.0,Source Verified,credit_card,PA,B,B1,712.0,18.28,Individual,Fully Paid
8000.0,8000.0,36 months,12.42,267.33,10+ years,RENT,40000.0,Not Verified,credit_card,OR,B,B4,692.0,15.0,Individual,Fully Paid
16000.0,16000.0,60 months,15.27,382.92,10+ years,RENT,42656.4,Source Verified,debt_consolidation,GA,C,C4,737.0,17.44,Individual,Fully Paid
15000.0,15000.0,36 months,17.27,536.81,2 years,MORTGAGE,44400.0,Source Verified,house,FL,D,D3,672.0,3.59,Individual,Fully Paid
10000.0,10000.0,36 months,9.91,322.25,2 years,OWN,30000.0,Not Verified,debt_consolidation,VT,B,B1,732.0,11.24,Individual,Fully Paid
10000.0,10000.0,36 months,6.62,307.04,5 years,MORTGAGE,70000.0,Not Verified,credit_card,NY,A,A2,742.0,16.78,Individual,Fully Paid
8000.0,8000.0,36 months,14.65,275.96,3 years,RENT,28000.0,Not Verified,car,CA,C,C3,677.0,12.6,Individual,Fully Paid
22000.0,22000.0,36 months,9.91,708.95,2 years,MORTGAGE,50000.0,Verified,debt_consolidation,MI,B,B1,742.0,13.22,Individual,Fully Paid
6000.0,6000.0,36 months,14.27,205.86,10+ years,MORTGAGE,94800.0,Verified,car,TX,C,C2,697.0,24.53,Individual,Fully Paid
16000.0,16000.0,60 months,9.91,339.25,10+ years,OWN,40000.0,Verified,debt_consolidation,FL,B,B1,782.0,9.39,Individual,Fully Paid
2500.0,2500.0,36 months,7.51,77.78,,OWN,12000.0,Source Verified,debt_consolidation,CA,A,A3,732.0,16.3,Individual,Charged Off
13500.0,13500.0,36 months,9.91,435.04,2 years,MORTGAGE,36000.0,Source Verified,credit_card,DC,B,B1,727.0,22.93,Individual,Fully Paid
25000.0,25000.0,36 months,12.42,835.39,2 years,RENT,225000.0,Verified,debt_consolidation,NJ,B,B4,712.0,8.32,Individual,Fully Paid
10000.0,10000.0,36 months,13.49,339.31,2 years,RENT,45900.0,Verified,small_business,CA,C,C1,692.0,24.97,Individual,Fully Paid
2500.0,2500.0,36 months,13.49,84.83,4 years,RENT,27200.0,Not Verified,debt_consolidation,WA,C,C1,687.0,6.44,Individual,Fully Paid
7325.0,7325.0,36 months,12.69,245.72,1 year,RENT,42000.0,Not Verified,debt_consolidation,FL,B,B5,682.0,22.57,Individual,Fully Paid
4000.0,4000.0,36 months,12.42,133.67,5 years,RENT,135000.0,Verified,credit_card,NY,B,B4,697.0,12.12,Individual,Fully Paid
10000.0,10000.0,36 months,13.49,339.31,5 years,RENT,65000.0,Not Verified,small_business,CA,C,C1,692.0,6.92,Individual,Charged Off
7750.0,7750.0,36 months,17.27,277.36,< 1 year,RENT,24000.0,Not Verified,debt_consolidation,IL,D,D3,667.0,16.1,Individual,Charged Off
20000.0,20000.0,60 months,20.89,539.84,6 years,RENT,70000.0,Source Verified,debt_consolidation,FL,F,F1,667.0,16.63,Individual,Charged Off
9600.0,9600.0,36 months,12.42,320.79,10+ years,RENT,65000.0,Verified,debt_consolidation,NY,B,B4,687.0,11.65,Individual,Fully Paid
21000.0,21000.0,60 months,11.71,464.07,3 years,RENT,60000.0,Not Verified,debt_consolidation,CA,B,B3,737.0,6.62,Individual,Charged Off
14000.0,14000.0,36 months,10.65,456.03,3 years,RENT,30000.0,Source Verified,credit_card,CT,B,B2,702.0,15.52,Individual,Fully Paid
13350.0,13350.0,36 months,12.42,446.1,10+ years,RENT,43000.0,Not Verified,debt_consolidation,CA,B,B4,707.0,20.57,Individual,Fully Paid
15000.0,15000.0,36 months,16.77,533.08,10+ years,RENT,42000.0,Verified,debt_consolidation,WI,D,D2,667.0,19.63,Individual,Charged Off
15000.0,15000.0,36 months,17.27,536.81,8 years,RENT,75000.0,Source Verified,debt_consolidation,CA,D,D3,667.0,16.03,Individual,Charged Off
